Persian,English
که,That
رو,Face
من,I
به,To
و,And
تو,You
از,From
اون,that
اين,this
يه,one
مي,May
با,With
در,At
نه,Not
ما,We
هم,Both
بود,Was
کنم,To
باشه,OK
تا,until the
ها,I see
چي,What
بايد,should
خيلي,very
فکر,Thought
آره,Yeah
یه,one
این,This
براي,For
خب,Okay
فقط,Only
کن,do
می,May
شما,You
همه,All
اگه,if
داره,It's
ديگه,Another
شده,Been
دارم,I have
کار,Work
اينجا,here
نيست,is not
چه,What
پس,So
اما,But
ي,Yeah
نمي,Not
چرا,Why
خوب,Good
کنه,Mick
کردم,I did
چيزي,Something
کني,You're
حالا,Now
ولي,but
الان,now
توي,You
هر,Every
اونا,they
اي,O
هاي,On
داري,you have
شد,became
يک,One
اوه,Oh
منو,Menu
ميشه,It can be
بهت,To you
بچه,Child
هست,LT is
بهم,Me
مثل,Like
بهش,to him
وقتي,when
دوست,Friend
دست,Hand
ميکنم,I do
باید,Should
خیلی,Very
بده,Give it
کرد,Kurdish
حرف,Letter
چی,What
خونه,Home
يا,Or
کنيم,Let's do
واسه,for
بله,Yes
کرده,done
سلام,Hello
کردن,to do
خوبه,Is it good
برای,To
چون,Because
برو,Go
را,particle for direct object
چيه,What
اينکه,That is
هيچ,nothing
اونجا,there
بعد,Next
بودم,I was
كه,That